x,y
4503.09786887,15012.914384200001
5411.42452095,14386.805501299998
5681.85901374,14469.381078
6065.98831034,14867.8895579
6254.71083827,12758.119755
6403.35501425,26202.269555400002
6648.52750112,23043.969467299998
6669.59177345,14374.069110299999
6881.73344133,21552.7077462
6964.86520708,13736.982674500001
7164.42953587,12246.5931572
7264.73332903,17901.1989042
7546.44810585,14327.099920899998
7757.93084566,28605.0356932
7796.19541315,19436.917323400005
7946.11166231,16371.027391299998
8000.48870899,12785.3830691
8086.9538489,14250.0838309
8115.078983399999,21872.556042900003
8336.12291848,20622.0356879
8407.15922162,15552.3080787
8430.84589868,17205.2378084
8461.04858176,14011.0452189
8712.05767221,18830.152984700002
8876.32874138,16322.228707799997
8887.39661085,14331.135291600001
9245.19053425,15071.0911099
9313.50195472,17231.0874057
9344.50278884,21693.658927400003
9452.06906242,18595.6723619
9493.80249855,22204.8065257
9505.14951829,12646.5164093
9680.15149032,16124.304744100002
9703.86046659,14188.7180787
9807.14755078,24275.3991015
10031.0024501,23526.103295599998
10050.5787566,19857.205795700003
10175.3764085,15875.1758956
10244.333448200001,10868.8268716
10250.870252600002,16463.901429100002
10257.906346799999,13000.0876945
10288.296983299999,14760.305315200001
10426.9105095,12462.403806799999
10446.3403529,17597.2940814
10463.4787817,20926.4531034
10494.773445,15523.411881299999
10527.003625700001,20121.2306402
10531.1923073,12564.664139
10596.6351135,22819.6183404
10913.208170200001,14118.9727215
11004.829647700002,17205.5211553
11062.8141483,13432.4421864
11101.4512823,22047.1349348
11102.2525802,14981.372723299997
11205.3466149,10872.5034129
11240.8432654,16022.821919600001
11245.2033311,20376.0510197
11295.517642899998,15474.444016100002
11351.216984,16497.9054015
11384.607623200001,12198.2574896
11408.3012487,15416.558700900001
11527.4168967,18765.0124581
11608.9919744,15847.394098299997
11627.719045799999,5714.93106976
11669.4651593,8740.68647734
11737.1625828,14635.2079091
11783.1994957,20288.9697344
11799.872202600001,25162.4432355
11849.156221700001,10511.5395
11916.958201000001,24468.9755353
11977.2435128,17674.076992500002
12042.9306815,12826.961238
12086.2700698,23596.7892313
12135.474428,15173.3624334
12137.7546164,15780.9069396
12235.235084200001,15951.7507174
12245.4709914,13961.3949602
12402.7054648,17085.7264559
12557.543718500001,16391.4827123
12663.813034100001,12898.9996435
12717.222390500001,14124.887665600001
12732.8459221,10989.765753799998
12745.981715,14519.8881058
12813.7745738,13503.093499899998
12901.7225982,11686.615267899999
12973.8676144,6934.92189768
13023.8368669,20128.4247758
13040.637571899999,16477.19679
13063.0245095,15185.3084148
13075.7100922,15289.8532033
13220.9373577,14407.5410789
13310.165285100002,14818.6967864
13330.564132,13484.1763478
13340.0915314,17271.2748714
13383.789647799998,14158.395804799999
13437.253306600001,13748.1447746
13448.551310799998,13487.9953442
13506.036162399998,21042.890633900002
13567.8810066,14021.2533558
13575.356209900001,19420.7414154
13620.690800999999,18287.5501026
13716.6509324,17835.9355694
13732.015176800001,13811.687156200001
13823.849655700002,10425.3251426
13833.7736852,16592.9340033
13834.7413991,12727.9406276
13848.176150100002,14580.849083399999
13865.048682700002,14393.920265399998
13917.5996456,14966.690985299998
13924.892407,13318.496143600001
13964.365290900001,10638.2619316
14146.7369059,14340.442341299999
14152.298554199999,23666.7216559
14177.315943700001,11825.1502686
14177.518990600001,14846.3182034
14180.203090399998,14054.2122221
14247.648229700002,9414.38214085
14249.273676499999,12251.9180949
14267.296369799999,11106.2374759
14305.2821972,15149.832907299999
14315.096304100001,13116.135938700001
14316.7874359,13499.913867399999
14358.7810581,8136.13975275
14375.0473347,13993.725201299998
14384.5969699,10212.4309047
14479.013534,12762.192773899998
14496.3822551,18166.9169491
14522.516437999999,12762.406071200001
14546.785506999999,15846.954482100002
14603.0123301,16633.9625513
14657.5937951,4266.05736402
14679.6701655,16075.4820804
14688.224441,11207.5427513
14848.155370100001,5046.45122602
14858.136405500001,17321.9734901
14870.7474704,19106.8615741
14955.6707391,9237.99599375
15023.076282799999,14410.733037099999
15038.295033000002,14570.4801129
15065.285923700001,14249.3070979
15104.369936399999,4391.408880100001
15115.737976499999,10779.515766600001
15118.1686792,14034.556076700002
15173.635048700002,6013.50386845
15189.8333115,14797.3212054
15191.007049099999,13146.073121700001
15194.0106528,14331.038529700003
15387.853099899998,13875.6349333
15408.2351641,14620.573572100002
15477.162228700001,14933.858788299998
15484.341459099998,14205.114422
15533.6853067,14026.8513199
15593.211392500001,11638.290924500001
15658.5482324,14727.300724899998
15661.77165,16855.2161879
15676.9003639,14874.229923899999
15713.7239949,14563.626658899999
15715.086608000001,12407.336028299998
